,Estimated.Data.Flag...Natural.Gas,Borough,Estimated.Data.Flag...Electricity..Grid.Purchase.,Property.Type,Multifamily.Housing.Government.Subsidized.Housing,Metered.Areas.Energy,Occupancy100,number.of.energy.meters.cat,Multifamily.Housing.Resident.Population.Type,ENERGY.STAR.Score,Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..,Year.Built,Latitude,Multifamily.Housing.Percent.That.Can.Be.Cooled,Property.GFA.Calculated.Buildings.and.Parking.ft,Electricity.Use...Grid.Purchase.and.Generated.from.Onsite.Renewable.Systems..kBtu.,Longitude,Site.EUI.kBtu.ft,Multifamily.Housing.Percent.That.Can.Be.Heated,Multifamily.Housing.Gross.Floor.Area.ft,Percent.of.Electricity.Green.Power
8328,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,77,0.6,1930,40.663854,0.0,71801,831847.3,-73.93885,63.3,0.0,71801,0
8329,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,21,1,2005,40.851779,0.0,87132,1889746.1,-73.911335,114.8,100.0,87132,0
8332,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,41,0.8,1942,40.578149,100.0,125000,1593282.5,-73.95417,90.3,50.0,125000,0
8334,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,69,0.5,2000,40.857332,0.0,124888,2581112.5,-73.894898,70.7,100.0,124888,0
8336,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,29,0.7,2007,40.854283,0.0,84126,1993151.2,-73.892119,90.4,100.0,84126,0
8337,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,62,0.5,1985,40.775859,90.0,108943,1948705.5,-73.956132,65.3,100.0,108943,0
8338,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,89,0.3,2001,40.844862,90.0,82309,1741168.2,-73.885506,51.8,100.0,82309,0
8339,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,59,0.6,2003,40.853755,0.0,92728,2035552.8,-73.903926,76.5,100.0,92728,0
8341,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,68,0.5,2011,40.882486,100.0,64942,1029527.3,-73.869887,63.2,100.0,63164,0
8342,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,17,0.8,1928,40.720978,100.0,45760,585439.1,-73.739052,88.8,100.0,45760,0
