,Estimated.Data.Flag...Natural.Gas,Borough,Estimated.Data.Flag...Electricity..Grid.Purchase.,Property.Type,Multifamily.Housing.Government.Subsidized.Housing,Metered.Areas.Energy,Occupancy100,number.of.energy.meters.cat,Multifamily.Housing.Resident.Population.Type,ENERGY.STAR.Score,Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..,Year.Built,Latitude,Multifamily.Housing.Percent.That.Can.Be.Cooled,Property.GFA.Calculated.Buildings.and.Parking.ft,Electricity.Use...Grid.Purchase.and.Generated.from.Onsite.Renewable.Systems..kBtu.,Longitude,Site.EUI.kBtu.ft,Multifamily.Housing.Percent.That.Can.Be.Heated,Multifamily.Housing.Gross.Floor.Area.ft,Percent.of.Electricity.Green.Power
1210,No,MANHATTAN,No,Hotel,No,Whole Property,True,5,No specific resident population,66,0.3,2005,40.75303,0,338274.0,10887204.1,-73.985732,59.7,100,176900,0
1332,No,MANHATTAN,No,Hotel,No,Whole Property,True,10,No specific resident population,15,0,1930,40.774267,100,294142.0,11964208.7,-73.963285,150.6,100,76657,0
1401,No,MANHATTAN,No,Hotel,No,Whole Property,True,5,No specific resident population,67,0.5,1931,40.766613,100,723209.0,24687512.4,-73.978473,82.8,100,190809,0
4267,No,QUEENS,No,Mixed Use Property,No,Whole Property,True,5,No specific resident population,50,0.1,2017,40.750134,90,46604.0,1621646.5,-73.941892,47.4,90,46604,0
4273,No,BROOKLYN,No,Mixed Use Property,No,Whole Property,False,5,No specific resident population,44,0.2,2018,40.702314,100,83636.0,2709509.5,-73.917665,58.5,100,73152,0
4281,No,QUEENS,No,Mixed Use Property,No,Whole Property,True,10,No specific resident population,67,0.7,1927,40.744116,0,92015.0,1025064.4,-73.916621,79.2,90,89515,0
4322,No,BRONX,No,Mixed Use Property,No,Whole Property,True,15,No specific resident population,72,0.7,1937,40.833297,0,137900.0,1695756.5,-73.918837,78.1,90,137450,0
4353,No,BRONX,No,Mixed Use Property,No,Whole Property,True,15,No specific resident population,100,0.2,1931,40.837479,0,59152.0,762931.7,-73.907694,29.1,90,58786,0
4378,No,BRONX,No,Mixed Use Property,No,Whole Property,True,10,No specific resident population,72,0.5,1941,40.829796,0,92417.0,1634080.5,-73.921096,65.3,90,88617,0
4439,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,23,1.3,1951,40.741688,0,79919.0,1505530.7,-73.700935,140.3,100,79919,0
4441,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,57,0.8,1926,40.749309,90,57920.0,714284.8,-73.885165,88,90,57920,0
4445,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,81,0,1923,40.764974,0,64070.0,1049465,-73.966911,48.1,100,64070,0
4446,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,90,0.4,1961,40.769015,90,267980.0,4164404,-73.961014,54,90,252925,0
4447,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,57,0.6,1981,40.841299,90,97013.0,1525197.8,-73.783771,74.4,100,97013,0
4449,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,50,0.9,1971,40.639829,0,399000.0,6042044.7,-74.024426,95.2,100,399000,0
4453,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,84,0.5,1934,40.766719,90,63538.0,755491.2,-73.917124,60,90,63538,0
4454,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,49,0.8,1963,40.755884,90,130548.0,2028321.1,-73.830434,91.2,100,130548,0
4456,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,70,0.6,1930,40.737953,90,93280.0,1224325.9,-73.985021,67.5,100,93280,0
4458,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,49,0,1961,40.736104,90,186323.0,3733659.5,-73.993534,72.4,90,168270,0
4459,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,91,0.6,1964,40.636237,90,76847.0,687015.8,-73.960561,62.8,100,76847,0
4462,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,58,0.9,1964,40.754862,90,63325.0,746159.7,-73.829682,95.4,100,56125,0
4465,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,79,0.7,1965,40.720027,100,80200.0,1121879.9,-73.813198,77.4,100,80200,0
4467,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,45,0.3,2016,40.708005,100,527901.0,17207893.1,-74.015531,60,100,506252,0
4469,No,QUEENS,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,57,0.7,1949,40.729848,70,141920.0,2549265.2,-73.857445,82.9,90,141920,0
4470,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,100,0,1924,40.784306,90,60749.0,646726.5,-73.971101,12.1,100,60749,0
4472,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,61,0.6,1955,40.712524,0,96712.0,1716676.5,-73.789812,80.7,100,62461,0
4474,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,32,0.2,2011,40.765876,100,67589.0,2682670.3,-73.96521,58.1,100,62497,0
4475,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,100,0.1,1950,40.853081,100,127000.0,1079063.1,-73.863894,15.9,100,127000,0
4476,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,29,0.4,2008,40.771865,90,64758.0,2318777.1,-73.955622,77,100,64758,0
4477,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,25,No specific resident population,24,1,1973,40.687637,0,188486.0,4101981.5,-73.938323,112.6,100,188486,0
4478,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,7,0,2009,40.762813,0,109100.0,3914826.4,-73.975673,84.4,100,94127,0
4481,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,1912,40.776051,90,42664.0,707998.5,-73.957381,18.3,100,42664,0
4482,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,58,0.7,1928,40.597691,0,75300.0,909602.4,-73.959036,77.7,0,75300,0
4484,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,82,0.6,1940,40.71605,0,60000.0,737702.7,-73.836383,66.6,100,60000,0
4487,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,97,0.6,1950,40.870405,90,96250.0,791771.3,-73.88313,58.9,100,96250,0
4490,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,41,0.4,2009,40.775485,90,708392.0,19372496.6,-73.99023,70.3,100,653938,0
4492,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,93,0,1940,40.769922,0,81922.0,2171487.9,-73.949049,29.4,100,81922,0
4493,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,1,0.5,1900,40.731028,90,71881.0,11986031.9,-73.989753,209.7,100,71881,0
4497,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,1,1,1972,40.849106,100,199500.0,9607202.5,-73.900907,140.6,100,199500,0
4498,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,31,0.1,1911,40.740303,0,153754.0,4700064.1,-73.988687,78.6,100,136754,0
4499,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,50,0.9,1922,40.831815,0,61608.0,880160.2,-73.943545,99.4,100,61608,0
4502,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,68,0.8,1961,40.641747,0,93000.0,1370551.9,-73.97379,88.6,90,88000,0
4505,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,51,0.6,1941,40.772968,100,82608.0,1634626.8,-73.954195,77.8,100,82608,0
4506,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,66,0.4,1926,40.790641,100,151000.0,2694212.8,-73.97212,60.3,100,151000,0
4507,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,12,0.6,2002,40.740188,0,108755.0,2527362.2,-73.9976,78.2,100,103830,0
4510,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,17,0.7,1928,40.865877,100,40228.0,950279.2,-73.859612,89,100,40228,0
4512,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,40,0.7,1962,40.778055,90,123696.0,2393212.3,-73.956224,90.4,90,115974,0
4513,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,8,0,1940,40.759863,0,50000.0,2179589.4,-73.966581,129.8,100,50000,0
4514,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,71,0.8,1951,40.751316,90,57228.0,785141.8,-73.885555,85.6,100,57228,0
4516,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,54,1.1,1909,40.822988,0,66086.0,927793.4,-73.955671,117.1,100,66086,0
4518,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,80,0.5,1925,40.788619,90,105170.0,1887895.8,-73.955246,60.8,100,90849,0
4520,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,100,0,2008,40.80933,90,27990.0,475566.3,-73.937387,19.8,100,27990,0
4527,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,84,0.8,1910,40.845784,100,48168.0,297778,-73.934483,76.6,100,48168,0.00E+00
4528,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,94,0.7,1963,40.760574,90,178738.0,2413784.3,-73.826069,77.6,100,178738,0
4537,No,STATEN IS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,47,1,1942,40.627499,0,76230.0,717417.7,-74.090946,100.7,100,68730,0
4538,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,100,0.1,1941,40.850109,90,69116.0,1198486.8,-73.913069,23.9,100,69116,0
4539,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,96,0,1980,40.779852,100,58723.0,705416.3,-73.974497,52.2,100,58723,0
4540,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,52,0,1915,40.742787,100,345972.0,15318320.7,-73.989206,44.4,100,345972,0
4543,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,9,1.2,1909,40.652939,0,32004.0,465754.4,-74.018322,135.1,100,32004,0
4544,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,1,1.8,1907,40.845621,100,28870.0,740706.3,-73.932939,195.2,100,28870,0
4545,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,85,0.6,1926,40.672887,0,127315.0,1174415.2,-73.966946,65.7,100,127315,0
4548,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,60,0.6,2012,40.719229,100,539680.0,9006803.1,-73.964203,77.2,100,522607,0
4549,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,13,0.7,1929,40.773309,20,107240.0,2380905.2,-73.96495,85,90,102410,0
4551,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,65,0,1931,40.767632,90,210000.0,4652371.2,-73.970549,60,100,210000,0
4552,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,45,0.8,1962,40.594256,0,118608.0,1448420.6,-73.962019,90.6,100,108000,0
4554,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,46,0.6,1947,40.759251,90,191300.0,4026511.4,-73.965181,73.3,100,180760,0
4556,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,50,0.7,2016,40.724301,100,185282.0,3283577.8,-74.010214,80.1,100,185282,0
4558,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,18,0.8,1938,40.618221,0,65500.0,1459795.9,-73.962924,96.4,0,65500,0
4559,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,93,0.6,1961,40.639361,90,114780.0,1564009.3,-73.971931,71.4,100,114780,0
4560,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,76,0.3,1961,40.764428,100,429986.0,6125764.9,-73.97747,70.4,100,350000,0
4561,No,BRONX,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,61,0.7,1941,40.88065,0,125148.0,1938170.6,-73.910245,82.5,100,125148,0
4563,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,83,0.6,1928,40.663846,0,80899.0,924819.2,-73.951826,68.3,90,80899,0
4565,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,84,0.6,1912,40.766021,0,78963.0,1267627.9,-73.985267,74.5,100,78963,0
4566,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,80,0,1916,40.777114,80,52740.0,1130406.9,-73.957929,53.5,100,52740,0
4567,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,53,0.6,1920,40.79865,90,61400.0,1221749.5,-73.969437,90.6,100,61400,0
4568,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,92,0,1967,40.757767,0,130000.0,1749673.6,-73.960388,47.4,100,130000,0
4569,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,73,0.7,1930,40.575753,90,54187.0,421077.3,-73.962397,77.1,90,54187,0
4571,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,56,0.7,1956,40.618198,90,110129.0,1386878.7,-73.969347,77.8,100,110129,0
4572,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,99,0.2,1927,40.876045,100,75610.0,893295.4,-73.880596,33.5,100,75610,0
4575,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,57,0.7,1920,40.726619,100,38520.0,594570.3,-73.979291,78,100,38520,0
4576,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,73,0.7,1950,40.859175,100,71663.0,768417.9,-73.902288,72,100,71663,0
4577,Yes,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,29,0.9,1931,40.705758,100,32763.0,484705,-73.916554,93.4,100,32763,0
4578,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,87,0,1948,40.769802,0,240157.0,3216246.7,-73.968421,45,100,233157,0
4580,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,19,0.5,1938,40.767236,0,86148.0,2675886.9,-73.97996,77.5,100,79348,0
4581,No,BRONX,No,Multifamily Housing,No,Whole Property,True,25,No specific resident population,26,0.1,1931,40.843946,90,90600.0,1972566.6,-73.885797,116.2,100,88725,0
4582,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,72,0.7,1936,40.867352,0,45000.0,447038.2,-73.925665,74.7,100,45000,0
4585,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,57,0,1967,40.791173,100,303950.0,5793808,-73.96874,83.1,100,285850,0
4586,No,BRONX,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,79,0.6,1926,40.875732,100,70000.0,873986.2,-73.880531,64.1,100,70000,0
4588,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,37,0.4,2015,40.789956,90,142262.0,4996655.6,-73.944956,71.2,90,82262,0
4592,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,38,0.3,1896,40.724694,90,127000.0,4522585.5,-73.99741,58.8,90,100000,0
4593,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,77,0.7,1948,40.620722,0,105300.0,1005876,-73.957487,70.7,90,105300,0
4594,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,76,0.7,1965,40.74848,100,684088.0,9672361.5,-73.973022,82.6,100,607914,0
4596,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,39,0.6,1900,40.711379,100,111685.0,2890049.3,-74.006287,77.1,100,100369,0
4601,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,86,0,1948,40.770607,90,359286.0,5268015.4,-73.968367,46.8,100,332286,0
4602,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,71,0.6,1969,40.583082,90,109624.0,1559428,-73.962991,70.3,100,109624,0
4605,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,33,0.3,2008,40.743756,0,351608.0,12321742,-73.992739,58.9,100,335836,0
4606,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,51,1,1926,40.652939,0,30556.0,394100.3,-74.018322,100.6,100,30556,0
4607,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.1,1961,40.736889,90,100734.0,1476498.3,-73.997842,20,100,100734,0
4608,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,29,0.7,2004,40.759166,100,188941.0,5297645.2,-73.952006,94.6,100,188941,0
4609,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,44,0.7,1905,40.734125,100,64218.0,1198897.6,-73.99497,84,100,64218,0
4614,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,78,0.5,1986,40.710165,0,161357.0,2862302.6,-74.016751,58.8,100,150667,0
4616,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,23,1,1928,40.604123,0,28200.0,263186,-73.960638,104.3,100,28200,0
4617,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,98,0.8,1954,40.754339,0,166496.0,178338,-73.821335,78.4,100,146735,0.00E+00
4619,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,91,0.6,1973,40.760695,90,94376.0,1269226.5,-73.820928,71.7,100,94376,0
4620,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,42,0.8,1931,40.863539,0,71118.0,1109756.1,-73.928435,90.1,0,71118,0
4621,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,1,0.1,1989,40.712968,90,61451.0,1794397.1,-73.995008,152.5,100,50113,0
4622,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,25,0.9,1969,40.793173,100,57000.0,1371375.9,-73.938558,110.8,100,57000,0
4623,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,83,0.5,1920,40.788496,100,188821.0,2046241.9,-73.978152,58.5,100,183821,0
4626,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,81,0.5,2000,40.59382,90,94032.0,1896887.8,-73.757729,64.1,100,94032,0
4628,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,84,0.6,1924,40.874144,90,43580.0,442892.6,-73.886736,64.8,90,32785,4.429742
4630,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,51,0.7,1926,40.875243,100,50410.0,633897.1,-73.880482,83.7,100,50410,0
4632,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,18,0.9,1917,40.864598,90,42565.0,1087871.2,-73.923878,112.6,100,42565,0
4633,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,25,No specific resident population,17,0.9,1974,40.791709,70,2046455.0,43505183.7,-73.937064,105.9,90,1976209,0
4634,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,75,0.4,2010,40.803251,100,64142.0,1386729.3,-73.956211,62.8,100,53007,0
4635,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,50,0.7,1951,40.641273,100,103494.0,1541134.5,-73.958296,82.7,100,103494,0
4636,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,37,0.8,1928,40.662468,0,95786.0,1509280.1,-73.934446,90.6,100,95786,0
4637,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,43,0.1,1959,40.75784,90,106415.0,1557982.3,-73.824448,103.4,100,106415,0
4638,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,73,0.5,1926,40.605912,0,158250.0,2095822.7,-73.966997,65.5,0,158250,0
4639,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,59,0.6,1931,40.795594,0,208241.0,4455962.8,-73.975784,78.3,100,208241,0
4641,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,88,0.4,1955,40.694482,90,84403.0,1107569.3,-73.995943,51.5,100,83593,0
4643,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,Dedicated Senior/Independent Living,42,1,1980,40.661176,10,147170.0,2022820.9,-73.983023,106.7,90,147170,0
4644,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,59,0,1967,40.779774,0,130500.0,1974622.7,-73.952222,84.1,100,130500,0
4645,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,31,0.9,1930,40.847474,100,59384.0,953465.3,-73.915816,106.4,100,59384,0
4647,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,1,2.1,1929,40.83095,100,74594.0,1664029.3,-73.919327,212.5,100,72794,0
4648,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,78,0.5,1930,40.740067,100,110643.0,1891089.4,-73.999134,60.3,100,105643,0
4649,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,48,0.9,1940,40.828534,0,66078.0,1003139.9,-73.90436,99.3,80,66078,0
4650,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,42,0.8,1910,40.641163,100,51611.0,649635.6,-73.958252,86.7,100,51611,0
4651,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,34,0.4,1999,40.772899,90,65953.0,2557585,-73.960033,75.3,100,65953,0
4652,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,69,0.5,2007,40.745256,90,62672.0,1130918.7,-73.951911,61,100,62672,0
4653,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,22,0.6,2000,40.771865,100,193917.0,5848079.3,-73.955665,88,100,172173,0
4655,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,25,No specific resident population,53,0.7,1948,40.768327,80,128242.0,1695177.8,-73.890544,79.6,100,128242,0
4656,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,82,0,1940,40.839365,60,303760.0,4802458.2,-73.858638,63.2,80,296290,0
4658,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,58,0.8,1949,40.732226,90,134006.0,1671615.2,-73.853817,87.6,100,134006,0
4659,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,75,0,1929,40.770215,0,102308.0,1453088.6,-73.961692,67.8,100,102308,0
4661,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,13,0.1,2010,40.750038,100,561037.0,21466669.7,-73.983409,80.8,100,316300,0
4662,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,63,0.7,1940,40.602963,90,105583.0,798103,-73.990914,77,100,105583,0
4663,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,98,0,1929,40.758817,90,98766.0,1040624.2,-73.964106,50,100,98766,0
4664,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,43,0.7,1963,40.748469,0,395616.0,9604196.5,-73.972954,91.5,100,362616,0
4665,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,75,0.6,1927,40.621261,100,28500.0,323100.3,-74.031429,64.6,100,28500,0.00E+00
4666,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,51,0,1939,40.902318,90,151500.0,1664522.7,-73.901606,88.7,100,151500,0
4667,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,28,0.1,2005,40.75999,100,78424.0,2083336.8,-73.966928,74.8,100,73109,0
4668,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,72,0,2009,40.670524,90,84860.0,2902492.5,-73.957243,37.3,100,74253,0
4669,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,65,0.7,1955,40.652762,0,101200.0,1333202.2,-73.965064,80,100,101200,0
4670,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.1,1930,40.85721,90,29805.0,502552.8,-73.900093,22.5,90,29805,0
4671,No,BROOKLYN,Yes,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.4,1910,40.712412,100,36113.0,47254.9,-73.959766,37.8,100,36113,0.00E+00
4673,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,18,0.6,1999,40.709729,100,80006.0,2636318.3,-74.006792,88.3,100,80006,0
4675,No,BRONX,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,14,1,1927,40.825263,100,65064.0,1626447.2,-73.878389,120.8,100,56559,0
4676,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,96,0,1931,40.765998,10,340854.0,3205973.9,-73.959636,52.6,90,334854,0
4678,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,66,0.8,1961,40.615761,0,75315.0,855376.5,-74.037917,81.1,100,65315,0
4679,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,43,0.9,1921,40.851764,0,51000.0,670505.4,-73.92788,96.4,100,51000,0
4682,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,Dedicated Senior/Independent Living,90,0.6,1988,40.702967,10,109500.0,1434763.1,-73.913488,65.1,90,109500,0
4683,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,83,0.6,1960,40.600666,100,112720.0,1468395.5,-74.002355,68.8,100,112720,0
4685,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,62,0,1983,40.762508,100,805842.0,32016375.8,-73.974287,72.4,100,549320,0
4686,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,94,0.4,1928,40.779649,0,191042.0,2275170.4,-73.974006,52.4,100,191042,0
4688,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,56,0,1962,40.776193,100,480000.0,10796397.1,-73.984984,65.3,100,470659,0
4690,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,63,0.5,1932,40.694545,90,28423.0,564465.9,-73.964227,66.4,100,28423,0
4691,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,85,0.8,1941,40.745008,90,79180.0,1009072.7,-73.88209,90.1,100,79180,0
4692,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,72,0.5,1941,40.827923,90,101200.0,1731553.2,-73.92031,62.3,100,100700,0
4693,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,30,0.9,1938,40.740825,0,70540.0,991997,-73.923915,97.6,100,70540,0
