,Borough,number.of.energy.meters.cat,multifamily_pop_type,Metered.Areas.Energy,Property.Type,estimated_gas_usage,Occupancy100,estimated_electricity_usage,subsidized_housing,multifamily_cooled_area,energy_score,building_age,multifamily_heated_area,Latitude,green_electricity_percent,Longitude,energy_use,property_gfa,multifamily_gfa
13635,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,0.0,36.0,13.0,100.0,40.771063,0.0,-73.989133,77.8,285482.0,229780.0
13636,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,,16.0,100.0,40.69419,0.0,-73.959608,77.4,31474.0,26824.0
13637,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,,106.0,100.0,40.717566,0.0,-74.002139,52.6,28500.0,28500.0
13638,BROOKLYN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,18.0,39.0,100.0,40.652314,0.0,-73.973548,82.0,136821.0,111965.0
13639,MANHATTAN,15,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,0.0,39.0,63.0,100.0,40.770533,0.0,-73.962493,67.6,217152.0,206626.0
13640,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,90.0,68.0,95.0,100.0,40.658246,0.0,-73.957496,88.3,29356.0,29356.0
13641,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,94.0,105.0,100.0,40.654633,0.0,-73.962497,70.8,43000.0,43000.0
13642,BROOKLYN,5,,Whole Property,Multifamily Housing,,True,No,No,90.0,68.0,90.0,100.0,40.601421,0.0,-73.964745,80.9,25200.0,25200.0
13643,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,90.0,68.0,105.0,100.0,40.650848,0.0,-73.961919,83.6,43715.0,43715.0
13644,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,90.0,49.0,96.0,100.0,40.632609,0.0,-74.029446,113.9,32682.0,32682.0
13645,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,30.0,45.0,84.0,100.0,40.617219,0.0,-74.036009,85.5,30480.0,30480.0
13646,MANHATTAN,20,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,43.0,110.0,100.0,40.76333,0.0,-73.980835,91.1,98606.0,98606.0
13647,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,28.0,34.0,100.0,40.784879,0.0,-73.979193,77.8,149906.0,115553.0
13648,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,No,100.0,73.0,101.0,100.0,40.86676,0.0,-73.930915,84.1,72592.0,72592.0
13649,BROOKLYN,15,,Whole Property,Multifamily Housing,No,True,No,No,90.0,19.0,95.0,100.0,40.644916,0.0,-73.952351,114.4,49640.0,44640.0
13650,BROOKLYN,10,,Whole Property,Multifamily Housing,No,True,No,No,90.0,8.0,94.0,100.0,40.624176,0.0,-74.030108,119.7,36329.0,32440.0
